{'file': './data/validation/0_Asian_citrus_psyllid\\317.jpeg', 'target': (0, '0_Asian_citrus_psyllid'), 'real': (14, 'e_citrus_root_weevil')}
{'file': './data/validation/0_Asian_citrus_psyllid\\336.jpeg', 'target': (0, '0_Asian_citrus_psyllid'), 'real': (11, 'b_citrus_scale')}
{'file': './data/validation/3_green_stink_bug\\406.jpeg', 'target': (3, '3_green_stink_bug'), 'real': (13, 'd_citrus_aphids')}
{'file': './data/validation/3_green_stink_bug\\414.jpeg', 'target': (3, '3_green_stink_bug'), 'real': (2, '2_forktailed_bush_katydid')}
{'file': './data/validation/3_green_stink_bug\\454.jpeg', 'target': (3, '3_green_stink_bug'), 'real': (4, '4_fruit_moth')}
{'file': './data/validation/4_fruit_moth\\503.jpeg', 'target': (4, '4_fruit_moth'), 'real': (1, '1_citrus_swallowtail')}
{'file': './data/validation/4_fruit_moth\\527.jpeg', 'target': (4, '4_fruit_moth'), 'real': (13, 'd_citrus_aphids')}
{'file': './data/validation/4_fruit_moth\\575.jpeg', 'target': (4, '4_fruit_moth'), 'real': (13, 'd_citrus_aphids')}
{'file': './data/validation/4_fruit_moth\\577.jpeg', 'target': (4, '4_fruit_moth'), 'real': (2, '2_forktailed_bush_katydid')}
{'file': './data/validation/6_garden_snail\\515.jpeg', 'target': (6, '6_garden_snail'), 'real': (22, 'n_sooty_mold')}
{'file': './data/validation/6_garden_snail\\544.jpeg', 'target': (6, '6_garden_snail'), 'real': (12, 'c_false_codling_moth')}
{'file': './data/validation/6_garden_snail\\546.jpeg', 'target': (6, '6_garden_snail'), 'real': (15, 'f_citrus_flatid_planthopper')}
{'file': './data/validation/6_garden_snail\\560.jpeg', 'target': (6, '6_garden_snail'), 'real': (13, 'd_citrus_aphids')}
{'file': './data/validation/6_garden_snail\\574.jpeg', 'target': (6, '6_garden_snail'), 'real': (7, '7_brown_marmorated_stink_bug')}
